Property Name,Address,City,Notes
Patrick Bliix Modern,11241 Blix St. Toluca lake ca,Los Angeles,
Encino Stylish Home,16221 elisa place encino ca 91436,Los Angeles,
Patrick oaks modern mini mansion,14817 ostego street sherman oaks ca,Los Angeles,
Ls Private oasis,22616 oxnard st woodlandhills 91367,Los Angeles,
Gs' Castaic property 0099,28218 cascade road castaic ca 91384,Los Angeles,
michael's celebrity view home 0640,3343 n knoll drive los angeles ca 90068,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Malibu,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,
,,Los Angeles,